iter	Passed	Remaining
575	2142	1577
576	2148	1574
577	2153	1572
578	2158	1569
579	2163	1566
580	2168	1564
581	2173	1561
582	2179	1558
583	2185	1556
584	2190	1553
585	2196	1551
586	2202	1549
587	2208	1547
588	2214	1544
589	2219	1542
590	2224	1539
591	2230	1536
592	2235	1534
593	2241	1531
594	2246	1529
595	2251	1526
596	2257	1523
597	2262	1521
598	2268	1518
599	2273	1515
600	2278	1512
601	2283	1509
602	2288	1506
603	2293	1504
604	2299	1501
605	2304	1498
606	2309	1495
607	2314	1492
608	2319	1488
609	2323	1485
610	2329	1482
611	2334	1480
612	2339	1477
613	2344	1474
614	2350	1471
615	2354	1468
616	2359	1464
617	2364	1461
618	2369	1458
619	2374	1455
620	2380	1452
621	2385	1449
622	2390	1446
623	2395	1443
624	2400	1440
625	2406	1437
626	2411	1434
627	2416	1431
628	2422	1428
629	2428	1426
630	2434	1423
631	2439	1420
632	2445	1418
633	2451	1415
634	2456	1412
635	2462	1409
636	2467	1406
637	2473	1403
638	2479	1400
639	2485	1397
640	2490	1394
641	2495	1391
642	2501	1388
643	2507	1385
644	2512	1382
645	2517	1379
646	2523	1376
647	2528	1373
648	2533	1370
649	2539	1367
650	2544	1364
651	2550	1361
652	2556	1358
653	2562	1355
654	2568	1352
655	2574	1350
656	2580	1347
657	2586	1344
658	2592	1341
659	2597	1338
660	2602	1334
661	2608	1331
662	2613	1328
663	2618	1324
664	2623	1321
665	2629	1318
666	2634	1315
667	2640	1312
668	2646	1309
669	2651	1305
670	2656	1302
671	2661	1299
672	2666	1295
673	2671	1292
674	2677	1289
675	2682	1285
676	2688	1282
677	2693	1279
678	2698	1275
679	2703	1272
680	2709	1268
681	2714	1265
682	2719	1262
683	2724	1258
684	2729	1255
685	2735	1252
686	2740	1248
687	2746	1245
688	2751	1242
689	2757	1238
690	2762	1235
691	2767	1231
692	2772	1228
693	2777	1224
694	2783	1221
695	2788	1218
696	2793	1214
697	2799	1211
698	2804	1207
699	2809	1204
700	2815	1200
701	2820	1197
702	2826	1194
703	2831	1190
704	2836	1187
705	2841	1183
706	2847	1180
707	2853	1176
708	2858	1173
709	2863	1169
710	2868	1166
711	2874	1162
712	2879	1159
713	2885	1155
714	2890	1152
715	2896	1148
716	2902	1145
717	2907	1141
718	2913	1138
719	2918	1135
720	2923	1131
721	2929	1128
722	2935	1124
723	2941	1121
724	2946	1117
725	2952	1114
726	2957	1110
727	2962	1106
728	2968	1103
729	2973	1099
730	2978	1096
731	2984	1092
732	2989	1088
733	2994	1085
734	3000	1081
735	3005	1078
736	3010	1074
737	3015	1070
738	3020	1066
739	3025	1063
740	3029	1059
741	3035	1055
742	3039	1051
743	3045	1047
744	3049	1043
745	3054	1040
746	3060	1036
747	3066	1033
748	3071	1029
749	3076	1025
750	3082	1022
751	3087	1018
752	3093	1014
753	3098	1010
754	3103	1007
755	3109	1003
756	3114	999
757	3119	995
758	3124	991
759	3129	988
760	3134	984
761	3139	980
762	3144	976
763	3149	973
764	3155	969
765	3161	965
766	3166	961
767	3171	958
768	3177	954
769	3182	950
770	3187	946
771	3192	942
772	3198	939
773	3203	935
774	3208	931
775	3213	927
776	3219	923
777	3224	920
778	3229	916
779	3235	912
780	3240	908
781	3245	904
782	3250	900
783	3255	897
784	3262	893
785	3267	889
786	3273	885
787	3278	882
788	3284	878
789	3289	874
790	3294	870
791	3300	866
792	3305	862
793	3310	858
794	3316	855
795	3321	851
796	3326	847
797	3331	843
798	3336	839
799	3341	835
800	3347	831
801	3352	827
802	3357	823
803	3362	819
804	3368	815
805	3373	811
806	3378	807
807	3383	804
808	3389	800
809	3394	796
810	3399	792
811	3404	788
812	3409	784
813	3414	780
814	3419	776
815	3425	772
816	3429	768
817	3434	764
818	3439	760
819	3444	756
820	3450	752
821	3455	748
822	3459	744
823	3464	740
824	3470	736
825	3476	732
826	3481	728
827	3486	724
828	3491	720
829	3496	716
830	3502	712
831	3507	708
832	3512	704
833	3517	700
834	3522	696
835	3527	692
836	3532	687
837	3537	683
838	3543	679
839	3548	675
840	3553	671
841	3558	667
842	3563	663
843	3568	659
844	3573	655
845	3578	651
846	3583	647
847	3587	643
848	3592	639
849	3597	634
850	3602	630
851	3607	626
852	3612	622
853	3617	618
854	3622	614
855	3627	610
856	3632	606
857	3637	602
858	3643	598
859	3648	593
860	3652	589
861	3657	585
862	3662	581
863	3667	577
864	3672	573
865	3678	569
866	3683	565
867	3688	560
868	3694	556
869	3699	552
870	3704	548
871	3709	544
872	3715	540
873	3720	536
874	3726	532
875	3730	528
876	3735	523
877	3740	519
878	3746	515
879	3750	511
880	3756	507
881	3760	503
882	3765	498
883	3770	494
884	3776	490
885	3781	486
886	3786	482
887	3791	478
888	3795	473
889	3800	469
890	3805	465
891	3810	461
892	3815	457
893	3819	452
894	3825	448
895	3830	444
896	3835	440
897	3840	436
898	3845	432
899	3850	427
900	3856	423
901	3860	419
902	3865	415
903	3870	411
904	3874	406
905	3879	402
906	3885	398
907	3890	394
908	3895	389
909	3900	385
910	3905	381
911	3910	377
912	3915	373
913	3921	368
914	3927	364
915	3931	360
916	3936	356
917	3941	352
918	3945	347
919	3950	343
920	3955	339
921	3959	334
922	3964	330
923	3969	326
924	3973	322
925	3978	317
926	3983	313
927	3988	309
928	3994	305
929	3999	301
930	4004	296
931	4008	292
932	4013	288
933	4018	283
934	4023	279
935	4028	275
936	4032	271
937	4037	266
938	4042	262
939	4047	258
940	4052	254
941	4057	249
942	4062	245
943	4067	241
944	4072	237
945	4078	232
946	4083	228
947	4088	224
948	4093	220
949	4098	215
950	4103	211
951	4109	207
952	4114	202
953	4119	198
954	4124	194
955	4130	190
956	4135	185
957	4141	181
958	4147	177
959	4152	173
960	4157	168
961	4162	164
962	4168	160
963	4173	155
964	4178	151
965	4184	147
966	4188	142
967	4194	138
968	4199	134
969	4204	130
970	4209	125
971	4214	121
972	4219	117
973	4224	112
974	4229	108
975	4234	104
976	4238	99
977	4243	95
978	4248	91
979	4253	86
980	4258	82
981	4263	78
982	4268	73
983	4273	69
984	4279	65
985	4284	60
986	4290	56
987	4295	52
988	4300	47
989	4306	43
990	4311	39
991	4316	34
992	4321	30
993	4327	26
994	4331	21
995	4337	17
996	4342	13
997	4347	8
998	4352	4
999	4357	0
